Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Morocco,900.4,1648.37088,1601.5826,1590.16928,1617.57668,1609.19265,1651.44419,2117.31377,2220.74963,2434.01736,83.07095513,77.87456686,76.60698356,79.65089738,78.71975233,83.41228232,135.1525733,146.640341,170.3262283
Mozambique,1153.8,1355.60422,1360.01516,1370.46533,1377.88823,1175.36055,1188.43413,1220.19205,1239.09174,1214.18971,17.49039868,17.87269544,18.77841307,19.4217568,1.868655746,3.00174467,5.754207835,7.39224649,5.233984226
Myanmar,1863.4,1580.65273,1582.29109,1550.80687,1589.53838,1578.98398,1545.0132,1576.4941,1731.42023,1621.8247,-15.1737292,-15.08580605,-16.77541752,-14.69687775,-15.26328325,-17.0863368,-15.39690351,-7.082739616,-12.96422132
Namibia,5560,5558.97908,5583.06826,5536.14705,5541.50568,5590.57429,5571.68702,5793.92617,5789.6325,6033.81306,-0.018361871,0.414896763,-0.429009892,-0.332631655,0.549897302,0.210198201,4.207305216,4.130080935,8.521817626
Nepal,3088.7,2449.98305,2445.97842,2439.36888,2332.49287,2406.19287,2398.27757,2468.67987,2462.99077,2509.55648,-20.67915142,-20.80880565,-21.02279665,-24.48302295,-22.09690582,-22.35317221,-20.07382167,-20.25801243,-18.75039725
Netherlands (Kingdom of the),8556,8046.35293,8086.76382,8020.88946,8070.81627,8102.80806,8045.88435,7955.22523,8282.21712,8443.51609,-5.956604371,-5.484293829,-6.254213885,-5.670684081,-5.296773492,-5.962080996,-7.021678004,-3.199893408,-1.314678705
New Caledonia,584.4,1082.92358,1081.34337,1042.55917,1080.33062,1128.80673,1159.15201,1457.4468,1507.30835,1670.17634,85.30519849,85.03479979,78.39821526,84.8615024,93.15652464,98.34907769,149.3919918,157.9240845,185.7933504
New Zealand,9933.2,8201.45995,8168.39897,8213.54673,8143.23622,8111.49298,8141.65747,7998.42865,7913.61915,,-17.43385868,-17.7666918,-17.31217805,-18.02001148,-18.33957858,-18.03590515,-19.47782537,-20.33162375,
Niger,2891.1,2218.00487,2201.8446,2205.82425,2226.08632,2206.0065,2377.2307,2399.39924,,,-23.28162741,-23.84059355,-23.70294179,-23.00209886,-23.69663796,-17.77417938,-17.00739373,,
Nigeria,1100,1429.18774,1410.49815,1404.32451,1386.40301,1335.02704,1277.4983,1291.41191,,,29.92615818,28.22710455,27.66586455,26.03663727,21.36609455,16.13620909,17.40108273,,
North Macedonia,3526.6,2968.66857,2976.49339,2966.66196,2937.9405,3124.91058,3247.36144,3306.60811,3323.23282,3299.63622,-15.82066098,-15.59878098,-15.87756026,-16.69198378,-11.39027449,-7.91806726,-6.238073215,-5.766664209,-6.435767595
Norway,4765.8,4820.48096,4795.49998,4767.19185,4721.45715,4811.60537,4819.28464,4910.3047,4928.10636,5039.89988,1.147361618,0.623189811,0.02920496,-0.930438751,0.961126568,1.122259432,3.032118427,3.40564774,5.751392841
Oman,2533.2,3285.3397,3295.1714,3267.86836,3263.17601,3259.63454,3022.14406,3419.80029,3592.14038,3384.14555,29.6912877,30.07940155,29.00159324,28.81635915,28.67655692,19.30143929,34.99922193,41.80247829,33.59172391
Pakistan,2867.5,2926.36077,2994.74798,3079.95219,3248.46818,3038.25697,2968.90839,2690.70669,2647.34013,2867.76277,2.052685963,4.437593025,7.408969137,13.28572554,5.954907411,3.536473932,-6.165416216,-7.677763557,0.009163731
Paraguay,2709.8,2026.88477,2002.69722,1959.90829,2002.87613,2034.82969,1911.64674,1820.29982,1828.46429,2034.11124,-25.20168389,-26.09427928,-27.67332312,-26.08767695,-24.90849177,-29.45432357,-32.8253074,-32.52401321,-24.9350048
Peru,1633.4,1507.77504,1509.0398,1519.56608,1528.72713,1530.00102,1535.61066,1529.32063,1529.0489,1532.68681,-7.691010163,-7.613579038,-6.969139219,-6.408281499,-6.330291417,-5.986858087,-6.371946247,-6.388582099,-6.165862006
Poland,5234.2,7235.49507,7288.84951,7264.69183,7321.42101,7681.03023,7660.14974,7663.28157,7458.51329,7586.66535,38.23497516,39.25431795,38.79278266,39.87660024,46.74697623,46.34805204,46.40788602,42.4957642,44.94412422
Portugal,2770.4,2082.78627,2070.28326,2074.49287,2100.75793,2079.9416,2028.17013,2059.27504,2060.05446,1988.68422,-24.82001624,-25.27132327,-25.11937374,-24.17131353,-24.92269708,-26.79143337,-25.66867456,-25.64054072,-28.21671167
Qatar,2300,2381.85941,2381.05962,2370.74453,2356.63981,2340.12188,2416.45077,2525.00111,2551.1491,2383.42586,3.559104783,3.524331304,3.07584913,2.462600435,1.744429565,5.063076957,9.782656957,10.91952609,3.627211304
Republic of Korea,3251.3,3981.15746,4029.66834,3899.24057,3849.66449,3789.75751,3801.31454,3784.08953,3794.04668,3858.98069,22.44817335,23.94021899,19.92866146,18.40385354,16.56129887,16.9167576,16.38696921,16.69322056,18.69039123
Republic of Moldova,1897,2991.64797,3016.00825,3071.95143,3040.01388,3280.34386,3450.19982,3598.3555,3734.65903,4091.3469,57.70416289,58.98831049,61.93734475,60.25376278,72.9227127,81.87663785,89.68663679,96.87185187,115.6745862
Romania,2966,3549.46665,3680.72172,3708.96,3498.5534,3730.47096,3741.52033,3969.77902,4124.33492,4179.94071,19.67183581,24.09715846,25.04922454,17.9552731,25.77447606,26.14701045,33.842853,39.05377343,40.9285472
Russian Federation,2975.9,2540.63301,2551.23214,2658.03258,2626.6388,2595.36757,2587.98104,2637.96512,2678.37797,2667.40144,-14.6263984,-14.27023287,-10.68138782,-11.73632179,-12.78713767,-13.03534931,-11.35572029,-9.997715985,-10.36656339
Rwanda,1040.8,1079.59407,1097.99838,1107.1491,1095.37115,1107.52719,1125.25021,1085.79428,1041.2645,1057.58678,3.72733186,5.495616833,6.374817448,5.243192736,6.411144312,8.113970984,4.323047656,0.044629131,1.61287279
Saudi Arabia,6375.5,5544.55398,5456.92493,5347.41949,5121.56668,5157.42615,5610.28073,5758.40612,5770.4244,5752.01072,-13.03342514,-14.40789068,-16.12548835,-19.66799969,-19.10554231,-12.00249816,-9.679144851,-9.490637597,-9.779456984
Serbia,4944.7,4115.48459,4152.09217,4072.62305,4047.51833,3824.05677,3781.87946,3684.85488,3693.41186,3738.81594,-16.76978199,-16.02944223,-17.63659979,-18.14430946,-22.66352317,-23.51650333,-25.47869679,-25.30564321,-24.38740591
Slovakia,5511.3,5216.95128,5240.84852,5183.49398,5179.96737,5153.22131,5107.12745,5042.32084,5097.43305,5207.91514,-5.340821948,-4.907217535,-5.947889246,-6.01187796,-6.497172899,-7.333524758,-8.509410847,-7.509425181,-5.504778546
Slovenia,5796.3,6401.73535,6363.91822,6283.62496,6299.11746,6312.23037,6279.31079,6507.29724,6562.10659,6515.91926,10.44520384,9.792768145,8.407517899,8.674800476,8.90102945,8.333088177,12.26639822,13.21199024,12.41514863
Somalia,398.7,772.59698,779.23253,797.71927,818.2139,872.31521,854.11181,842.30244,,,93.77902684,95.4433233,100.0800778,105.2204414,118.7898696,114.2241811,111.2622122,,
South Africa,4158.5,3027.1945,3056.17424,3025.02804,2995.06874,2887.33291,2913.69228,2866.11758,2913.70313,2959.21232,-27.20465312,-26.50777348,-27.25675027,-27.97718552,-30.56792329,-29.93405603,-31.07809114,-29.93379512,-28.8394296
Spain,4253.2,3090.4204,3067.05409,3062.68047,3082.48846,3159.53843,2947.73566,2999.51469,2993.2021,2998.23045,-27.33893539,-27.88831727,-27.99114855,-27.52542885,-25.71385239,-30.69369745,-29.47628397,-29.62470375,-29.50647865
Sudan,2232.4,2833.62786,2937.93182,2871.3953,2784.72041,2754.77679,2755.0188,2890.58863,,,26.93190557,31.60418473,28.62369199,24.74110419,23.39978454,23.41062534,29.48345413,,
Sweden,7156.1,5780.92225,5796.52325,5763.42607,5772.88324,5986.03346,5987.59631,6022.43885,6058.49017,6020.47682,-19.21686044,-18.99885063,-19.46135367,-19.32919831,-16.35061752,-16.32877811,-15.84188524,-15.33810078,-15.86930283
Switzerland,6218.6,6000.01124,6022.79054,6019.82355,6023.1436,6151.33689,6137.03891,6292.58421,6373.24237,6332.67567,-3.515079922,-3.148770784,-3.196482327,-3.143093301,-1.081643939,-1.311566751,1.189724536,2.48677146,1.834426881
Syrian Arab Republic,2109.1,2023.3924,2046.1545,2087.89643,2061.79407,2056.47498,2040.2427,1938.70203,1918.30719,1879.81805,-4.063704898,-2.98447205,-1.005337348,-2.24294391,-2.495141055,-3.264771704,-8.079179271,-9.046171827,-10.87108008
