Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Slovenia,3054.9,2611.05802,2601.5479,2626.28339,2514.84645,2529.87632,2652.90463,2599.61044,2489.18004,2341.74088,-14.52885463,-14.84016171,-14.03046286,-17.67827261,-17.1862804,-13.15903532,-14.9035831,-18.51844447,-23.34476153
South Africa,1766.7,1927.39484,1954.04175,1955.99542,1967.55621,1987.83471,2008.76475,1944.523,1956.69632,1838.3631,9.095762721,10.60404992,10.71463293,11.36900492,12.51682289,13.70151978,10.06526292,10.75430577,4.056325352
Spain,3186.2,2607.77326,2639.88747,2536.66237,2538.60987,2496.63714,2479.26895,2494.28964,2638.04426,2546.76567,-18.15412529,-17.14620959,-20.38596541,-20.32484245,-21.64217124,-22.18727795,-21.71584835,-17.20405938,-20.06886981
Sri Lanka,2227.2,1610.61529,1595.01469,1622.41515,1608.06757,1614.18172,1616.56148,1580.15909,1706.40358,1651.06165,-27.68429912,-28.38475709,-27.15449219,-27.79869028,-27.52416846,-27.41731861,-29.051765,-23.38345995,-25.8682808
Suriname,1000,1337.16776,1322.91268,1333.26472,1335.33447,1319.07469,1316.3682,1303.8383,1298.52356,,33.716776,32.291268,33.326472,33.533447,31.907469,31.63682,30.38383,29.852356,
Switzerland,2582.2,2709.7702,2711.72264,2652.1168,2712.73648,2712.32871,2682.0069,2740.89476,2725.45121,2735.84292,4.940368678,5.015980172,2.707644644,5.055242816,5.039451243,3.865188599,6.145719154,5.547641933,5.950078228
Syrian Arab Republic,2093.8,1784.75883,1869.77797,1886.6189,1753.40772,1747.43874,1748.01985,1747.32028,1770.42532,,-14.75982281,-10.69930414,-9.894980418,-16.2571535,-16.5422323,-16.51447846,-16.54788996,-15.44439201,
Tajikistan,323.9,460.63617,368.04752,326.92812,327.14466,319.38331,371.65121,422.90568,336.42374,,42.2155511,13.62998456,0.934893486,1.001747453,-1.394470516,14.74257796,30.56674282,3.86654523,
Thailand,1664.6,1540.27436,1546.91406,1551.36239,1546.40995,1524.72696,1575.58062,1581.5854,,,-7.468799712,-7.069923105,-6.802691938,-7.100207257,-8.402801874,-5.347794065,-4.987059954,,
Timor-Leste,998.2,1106.87061,1085.09935,1111.06089,1116.32017,1114.64967,1120.96855,1114.19523,1093.23977,1087.58241,10.88665698,8.705605089,11.30644059,11.83331697,11.66596574,12.29899319,11.62043979,9.521115007,8.954358846
Togo,851.5,1009.11037,942.08835,919.98364,850.27553,876.26887,866.41407,770.42102,815.98431,,18.50973224,10.6386788,8.042705813,-0.143801527,2.908851439,1.751505578,-9.521900176,-4.17095596,
Turkiye,4418,3727.51622,3848.2625,3872.12172,3801.82348,3665.34839,3604.34246,3711.5178,3938.2354,,-15.62887687,-12.8958239,-12.35577818,-13.94695609,-17.03602558,-18.41687506,-15.99099593,-10.85931643,
Uganda,3076.9,981.51497,982.28132,996.99962,997.43645,919.37907,936.68882,817.1325,834.38158,,-68.10052423,-68.07561767,-67.59726933,-67.58307225,-70.11995612,-69.55738503,-73.44299457,-72.88239527,
Ukraine,2050.6,1817.60008,1730.5809,1683.29673,1616.08208,1559.12075,1598.80633,1564.45258,1726.64712,,-11.36252414,-15.60612016,-17.91199015,-21.18979421,-23.96758266,-22.03226714,-23.70756949,-15.79795572,
United Republic of Tanzania,1174.2,938.55178,934.30042,922.1671,907.36793,806.20558,786.17111,826.47095,844.78332,1046.73432,-20.06883154,-20.43089593,-21.46422245,-22.7245844,-31.34001192,-33.04623488,-29.61412451,-28.05456311,-10.85553398
United States of America,3432.7,2869.32309,2863.95157,2878.81535,2933.6709,2966.67521,2990.00971,3003.76827,3020.64457,,-16.41206368,-16.56854459,-16.13553908,-14.53750983,-13.57604189,-12.89627087,-12.49546217,-12.00382876,
Uruguay,2170.6,2166.14587,2161.18073,2163.25858,2143.84655,2134.79741,2192.46828,2191.27837,2237.00144,2218.25139,-0.205202709,-0.433947756,-0.338220768,-1.232537087,-1.649432876,1.007476274,0.952656869,3.059128352,2.195309592
Uzbekistan,1768.6,1977.26329,2015.3256,2015.68817,2056.3121,2062.28187,2193.86276,2202.18111,2194.73008,,11.79821836,13.9503336,13.97083399,16.26778808,16.6053302,24.04516341,24.5154987,24.09420332,
Venezuela (Bolivarian Republic of),1377.2,1575.04404,1536.28529,1503.51839,1442.57584,1444.0117,1485.47874,1588.56279,1561.99075,,14.36567238,11.5513571,9.172116613,4.747011327,4.851270694,7.862237874,15.34728362,13.4178587,
Viet Nam,1573.6,1557.02966,1548.03318,1558.32886,1583.44446,1545.66755,1551.54992,1608.1509,1562.13066,1480.04287,-1.053021098,-1.624734367,-0.970458821,0.625601169,-1.775066726,-1.401250635,2.195659634,-0.728859939,-5.945420056
Zambia,1405.3,1532.72088,1563.34527,1371.02334,1388.36158,1380.51016,1311.93422,1262.49185,,,9.06716573,11.2463723,-2.439099125,-1.20532413,-1.764024763,-6.643832634,-10.16211129,,
Zimbabwe,1814.7,1351.8603,1358.35116,1407.5726,1414.87314,1464.06846,1464.31621,1453.03909,1424.80254,1421.86301,-25.50502562,-25.14734336,-22.43496997,-22.03266986,-19.32173582,-19.30808343,-19.92951507,-21.48550504,-21.64748939
